Date,BA,BHP,JNJ,JPM,KO,NEE,PLD,SAP,SHEL,T,TJX,Portfolio
2014-04-01,0.021675212964228363,0.020510656181014886,-0.0029524496426972524,-0.0006589923981176193,-0.006466576185926387,-0.007948365610889851,0.0012245350943249633,0.005657655510193038,0.0023267669341568986,0.0005702055404674944,0.008903580438116565,-0.004921939938693358
2014-04-02,0.0007798641621192814,0.009542934724431129,0.0029611924141823565,0.0031515426662611645,-0.00208262817566518,-0.008644051796206975,-0.0017123396496289134,-0.00953924080523183,-0.0013654148165159752,0.007979721819923569,0.01585211987742663,-0.0014319674207270625
2014-04-03,0.003663003409592802,-0.0034375312044125916,0.00030509606052819827,0.0029765113380870734,-0.006783367993202116,0.005955029460723349,0.0017152767860799667,-0.002593018367749611,0.0006834623186942057,0.007350643208162921,-0.009813245558168093,-0.0011893948711758414
2014-04-04,-0.01087129068161008,0.004599249382964965,0.0016284302686750962,-0.014012530602154682,0.0039401035438564325,0.00433406054467822,0.003913981506831421,-0.002475718996896359,0.00013702731375442312,-0.0022454318804207007,-0.006011540809822358,-0.0041104323511567805
2014-04-07,-0.014052509279594116,0.0025749080830930193,-0.005385065541389511,-0.01354299357691191,0.010465661113329583,-0.011683120196389951,0.0012183932886149496,-0.013774767294815415,-0.0012299549191953085,-0.0016872907650556934,-0.021248699361321788,-0.015847449162090667
2014-04-08,-0.011465764174713677,0.020262629182042247,0.0017364307041562999,-0.002542333291114862,0.007250411482612185,0.027688960996072653,0.0017037120515870363,0.012457244908618215,0.007661028556179783,0.011152797381075219,0.009518786996519424,0.009184449592744654
2014-04-09,0.021989454002346198,0.012587383439631727,0.009076251971060545,0.007136642777678892,0.0023136202114628635,-0.0007256989719093276,0.0036443369701617545,0.012180005560847418,0.010996303899690307,-0.009923172290153381,-0.003308318162026702,0.0035744942162533213
2014-04-10,-0.02553592290649309,-0.02582850465213893,-0.02435585484975422,-0.031550321185672026,-0.002564912051518431,-0.006844107953091982,-0.02081863791610028,-0.0159628226772508,-0.014233836566247993,0.005727598623859409,-0.0227384782402007,-0.02798462258894833
2014-04-11,-0.01269830990736831,-0.0018432357664026622,0.003418470033770271,-0.03658575767684391,-0.006685488952635876,-0.006474078829483032,-0.009888815682714602,-0.0193411587332335,-0.0010900267664400998,0.0022779464103661606,-0.017833096581628904,-0.02673169162376627
2014-04-14,0.009666711339499257,0.011931661023598217,0.0027871264766692327,-0.006148176017120255,0.0025887474133212685,0.01008969827735684,0.0012486384257170968,0.018831998471895872,0.01036437291657788,0.004545234917920471,0.007954396435824629,0.001527550200795124
2014-04-15,0.008275903493670134,-0.016423319667740244,0.02120664127177041,-0.0029111144667041122,0.03743862966106426,0.011756747994652761,0.015211749102467254,-0.0008742705943418638,0.010122710360302989,0.00904986703186994,0.006690691340264454,0.007399142825730702
2014-04-16,0.01424318575349992,0.01370039252576749,-0.00453637598025014,0.008394165517054963,0.010203845417741109,0.006890638304961838,0.0046675014473516185,0.02025004054053592,-0.0014699418225446736,0.011771387948291023,0.00596460182295222,0.004590017748583914
2014-04-17,0.01491603996513291,0.0016893917079221499,0.002126165729227969,-0.0007240098913976478,0.0032027756485253356,-0.013481911964369542,0.009535075766445633,-0.022665974737723582,0.01298005707762151,-0.0016622839567076442,-0.005590297242320075,-0.00921705560601832
2014-04-21,-0.0007817709283498564,-0.004216119278743213,0.01050977486125948,-0.0034405349290854703,0.0007368018463091985,0.0009318489741996228,0.002422094974277922,0.003760768629867295,-0.0015851908796287173,0.0005556346203041684,0.011754603066731484,0.0046806589937554354
2014-04-22,-0.0021124190559393963,0.005363314423058929,0.0018000946461300682,0.014174085896630606,-0.0009815505657032597,-0.0034134615434039395,-0.0038660004763191314,-0.004371238792449272,-0.005292618130946503,0.006377734712447403,0.005219674470800406,0.0039547092819847895
2014-04-23,0.024147364774360636,-0.0018250273919762083,0.0003990781878664418,0.0042999848408966646,0.0004913218365911742,0.001245491488952366,-0.007033204670796711,-0.0020070244134261506,0.0038576581121840814,-0.037751603660877486,-0.014237908308444847,0.003125320577968402
